kd_desa,kd_kecamatan,kd_kabupaten,kd_provinsi,id_pasar,nama,kepemilikan_tanah,legalitas,no_legalitas,tahun,keterangan,created_by,updated_by,created_at,updated_at
3502010005,3502010,3502,35,1,pasar Keluh,pemerintah,tidak-ada,-,2019,aktif,,3502010005,2020-12-22 13:45:26,2020-12-22 13:45:26
3502010009,3502010,3502,35,1,PASAR MBAGONG,pemerintah,ada,-,1992,Jumlah Loss ,,3502010009,2020-10-13 05:47:44,2020-10-13 05:47:44
3502020010,3502020,3502,35,1,PASAR BRAMBANG,pemerintah,ada,PERDES NO. 08 TAHUN 2018,2018,-,,3502020010,2020-11-20 00:12:51,2020-11-20 00:12:51
3502030007,3502030,3502,35,1,,pemerintah,ada,-,,,,3502030007,2020-10-07 04:15:05,2020-10-07 04:16:08
3502030009,3502030,3502,35,1,PASAR BUNGKAL,pemerintah,ada,-,1960,MILIK PEMDA ,,3502030009,2021-07-09 14:53:12,2021-07-09 14:53:36
3502040001,3502040,3502,35,1,Pasar Desa ,pemerintah,ada,450/11/1994,1994,aktif,,3502040001,2021-02-04 03:13:13,2021-02-04 03:13:13
3502040006,3502040,3502,35,1,0,perorangan,tidak-ada,-0,0,0,,3502040006,2021-01-06 06:20:44,2021-01-06 06:20:44
3502050001,3502050,3502,35,1,PASAR NGRANDU,pemerintah,tidak-ada,-,2020,Pasar Desa,,3502050001,2021-07-08 16:54:33,2021-07-08 16:54:55
3502050002,3502050,3502,35,1,Pasar Desa Pangkal (Blumbang),pemerintah,ada,-,2018,Sertifikat ,,3502050002,2021-07-08 09:49:58,2021-07-08 09:51:41
3502050004,3502050,3502,35,1,Pasar Desa Tempuran,pemerintah,ada,-,1956,Aktif,,3502050004,2021-03-24 03:33:38,2021-03-24 03:33:38
3502050013,3502050,3502,35,1,PASAR DESA BONDRANG,pemerintah,ada,2,2017,PERDES,,3502050013,2020-12-17 02:12:19,2020-12-17 02:12:37
3502060003,3502060,3502,35,1,Pasar Desa Suru,perorangan,ada,-,1980,,,3502060003,2020-10-12 05:42:14,2020-10-12 05:42:54
3502061001,3502061,3502,35,1,Pasar tekak,pemerintah,ada,-,1960,,,3502061001,2020-10-22 05:35:47,2020-10-22 05:35:47
3502061002,3502061,3502,35,1,Pasar Desa Pudak Wetan,pemerintah,tidak-ada,-,,,,3502061002,2021-01-24 14:38:25,2021-01-24 14:38:25
3502070007,3502070,3502,35,1,PASAR HEWAN,pemerintah,ada,-,1970,,,3502070007,2021-03-25 02:24:40,2021-03-25 02:25:09
3502070014,3502070,3502,35,1,PASAR BARU DESA SERAG,pemerintah,ada,Perdes Serag no 18 tahun 2018,2018,Unit Bumdesa,,3502070014,2021-05-03 18:22:10,2021-07-08 08:01:54
3502080005,3502080,3502,35,1,PASAR DESA SIWALAN,pemerintah,ada,-N0.5/2008,2008,,,3502080005,2021-07-13 13:43:13,2021-07-13 13:43:13
3502080009,3502080,3502,35,1,PASAR DESA GANDU,pemerintah,ada,-,1950,,,3502080009,2021-05-06 05:51:28,2021-05-06 05:51:28
3502090014,3502090,3502,35,1,PASAR DESA PATIHAN KIDUL,pemerintah,ada,02 TAHUN 1980,1980,PASAR DESA ,,3502090014,2020-10-23 06:52:47,2021-05-06 13:07:00
3502100001,3502100,3502,35,1,MANTUP,pemerintah,ada,-,,LOS KIOS ,,3502100001,2020-12-17 03:21:19,2020-12-17 03:21:19
3502100007,3502100,3502,35,1,Pasar Laren Buntung,pemerintah,ada,-,2020,,,3502100007,2021-03-24 04:30:24,2021-03-26 15:20:32
3502100010,3502100,3502,35,1,PASAR BAMBU,pemerintah,ada,-,,7 RUKO,,3502100010,2020-10-08 05:48:12,2020-10-08 05:53:29
3502100010,3502100,3502,35,2,PASAR WISATA RELIGI,pemerintah,ada,-,,5 RUKO 3 LOS,,3502100010,2020-10-08 05:48:56,2020-10-08 05:53:57
3502110005,3502110,3502,35,1,Pasar Karangpatihan,pemerintah,tidak-ada,-,1960,Pasar Desa,,3502110005,2021-04-07 13:23:48,2021-04-16 01:56:02
3502110018,3502110,3502,35,1,Pasar Desa Tatung,pemerintah,tidak-ada,-,,,,3502110018,2021-01-25 13:21:25,2021-06-28 15:10:55
3502130013,3502130,3502,35,1,PASAR DESA SIDOHARJO,pemerintah,tidak-ada,-,2015,PASAR DESA SIDOHARJO YANG DIKELOLA PEMERINTAH DESA,,,2020-03-05 07:58:50,2020-03-05 07:58:50
3502140001,3502140,3502,35,1,Pasar Desa Dayakan,pemerintah,ada,-,,,,3502140001,2020-09-27 10:42:15,2020-10-13 00:40:19
3502140002,3502140,3502,35,1,PASAR RAKYAT DESA KARANGAN BADEGAN,pemerintah,ada,-,2020,,,3502140002,2020-03-13 03:53:00,2020-10-12 05:59:27
3502150006,3502150,3502,35,1,PASAR DESA KUNTI ,pemerintah,ada,-,,,,3502150006,2021-03-18 05:57:36,2021-03-18 06:00:06
3502160008,3502160,3502,35,1,-,perorangan,ada,-,,,,3502160008,2021-07-09 03:18:56,2021-07-09 03:18:56
3502160009,3502160,3502,35,1,Pasar Walikukun,pemerintah,ada,-,,,,3502160009,2021-03-22 13:26:35,2021-03-22 13:26:35
3502160011,3502160,3502,35,1,Tidak punya,perorangan,tidak-ada,-,,,,3502160011,2020-11-09 00:15:32,2020-11-09 00:18:32
3502160011,3502160,3502,35,2,Tidak punya,perorangan,tidak-ada,-,,,,3502160011,2020-11-09 00:17:20,2020-11-09 00:17:20
3502160013,3502160,3502,35,1,PASAR MALON,pemerintah,tidak-ada,-,,MILIK DESA,,3502160013,2021-07-12 00:31:37,2021-07-12 00:31:37
3502180010,3502180,3502,35,1,PASAR DANYANG DESA SUKOSARI,pemerintah,ada,07,2014,PASAR DESA,,3502180010,2020-11-02 03:25:29,2020-11-02 03:25:29
3502190010,3502190,3502,35,1,SRI REJEKI,pemerintah,tidak-ada,-,2013,Pasar Desa,,3502190010,2021-07-12 05:08:36,2021-07-12 05:08:36
3502190016,3502190,3502,35,1,PASAR RAKYAT,pemerintah,ada,PERDES NO....,2016,LOS 3,,3502190016,2020-12-18 04:11:43,2020-12-18 04:11:43
3502200007,3502200,3502,35,1,BALEBATUR,pemerintah,ada,PERDES 01 ,2020,Pasar Desa,,3502200007,2020-11-30 02:52:57,2020-12-15 02:18:29
